,DateTime,Open,High,Low,Close,Volume,Count
2023-04-27 18:00:00,2023-04-27 18:00:00,4151.0,4153.0,4148.25,4151.0,3035,921
2023-04-27 18:05:00,2023-04-27 18:05:00,4151.0,4152.25,4150.25,4151.75,1872,507
2023-04-27 18:10:00,2023-04-27 18:10:00,4151.75,4152.25,4149.5,4149.75,1301,350
2023-04-27 18:15:00,2023-04-27 18:15:00,4149.75,4151.0,4149.25,4150.25,744,230
2023-04-27 18:20:00,2023-04-27 18:20:00,4150.25,4151.0,4149.0,4149.25,728,243
2023-04-27 18:25:00,2023-04-27 18:25:00,4149.5,4149.5,4147.5,4148.0,1541,471
2023-04-27 18:30:00,2023-04-27 18:30:00,4148.0,4149.75,4147.5,4149.0,1047,359
2023-04-27 18:35:00,2023-04-27 18:35:00,4149.25,4150.0,4148.25,4148.5,538,210
2023-04-27 18:40:00,2023-04-27 18:40:00,4148.75,4150.0,4148.5,4149.5,444,132
2023-04-27 18:45:00,2023-04-27 18:45:00,4149.5,4149.75,4148.75,4149.0,355,113
2023-04-27 18:50:00,2023-04-27 18:50:00,4149.0,4149.75,4147.75,4148.25,528,234
2023-04-27 18:55:00,2023-04-27 18:55:00,4148.0,4149.5,4148.0,4149.5,439,178
2023-04-27 19:00:00,2023-04-27 19:00:00,4149.75,4151.75,4149.5,4151.5,1167,383
2023-04-27 19:05:00,2023-04-27 19:05:00,4151.25,4152.75,4150.5,4151.5,988,307
2023-04-27 19:10:00,2023-04-27 19:10:00,4151.5,4151.5,4150.5,4150.5,294,107
2023-04-27 19:15:00,2023-04-27 19:15:00,4150.5,4151.25,4149.25,4149.5,552,152
2023-04-27 19:20:00,2023-04-27 19:20:00,4149.5,4150.75,4149.25,4150.5,366,96
2023-04-27 19:25:00,2023-04-27 19:25:00,4150.5,4150.75,4150.0,4150.0,151,71
2023-04-27 19:30:00,2023-04-27 19:30:00,4149.75,4150.5,4149.0,4150.0,327,136
2023-04-27 19:35:00,2023-04-27 19:35:00,4150.0,4150.5,4149.5,4150.0,166,69
2023-04-27 19:40:00,2023-04-27 19:40:00,4150.25,4150.5,4149.25,4150.0,321,124
2023-04-27 19:45:00,2023-04-27 19:45:00,4149.75,4150.5,4148.75,4148.75,613,179
2023-04-27 19:50:00,2023-04-27 19:50:00,4149.0,4149.5,4148.5,4149.25,540,188
2023-04-27 19:55:00,2023-04-27 19:55:00,4149.25,4149.25,4148.25,4148.75,510,170
2023-04-27 20:00:00,2023-04-27 20:00:00,4148.75,4149.25,4147.5,4147.75,998,328
2023-04-27 20:05:00,2023-04-27 20:05:00,4147.75,4148.25,4147.0,4147.75,813,275
2023-04-27 20:10:00,2023-04-27 20:10:00,4147.75,4148.0,4147.0,4147.75,713,190
2023-04-27 20:15:00,2023-04-27 20:15:00,4147.75,4148.75,4147.5,4148.25,959,238
2023-04-27 20:20:00,2023-04-27 20:20:00,4148.0,4148.25,4147.0,4148.25,471,128
2023-04-27 20:25:00,2023-04-27 20:25:00,4148.25,4148.75,4148.25,4148.75,401,132
2023-04-27 20:30:00,2023-04-27 20:30:00,4148.5,4150.25,4148.5,4149.25,895,247
2023-04-27 20:35:00,2023-04-27 20:35:00,4149.0,4149.25,4148.25,4148.75,448,169
2023-04-27 20:40:00,2023-04-27 20:40:00,4148.75,4148.75,4147.5,4148.0,728,175
2023-04-27 20:45:00,2023-04-27 20:45:00,4147.75,4148.5,4147.5,4148.5,331,132
2023-04-27 20:50:00,2023-04-27 20:50:00,4148.5,4148.5,4147.75,4148.25,376,111
2023-04-27 20:55:00,2023-04-27 20:55:00,4148.5,4148.75,4147.5,4148.75,437,157
2023-04-27 21:00:00,2023-04-27 21:00:00,4148.5,4149.5,4147.75,4149.5,568,176
2023-04-27 21:05:00,2023-04-27 21:05:00,4149.5,4149.5,4148.25,4148.75,310,119
2023-04-27 21:10:00,2023-04-27 21:10:00,4148.75,4149.0,4148.25,4148.5,479,145
2023-04-27 21:15:00,2023-04-27 21:15:00,4148.5,4149.5,4148.25,4149.25,463,133
2023-04-27 21:20:00,2023-04-27 21:20:00,4149.25,4149.5,4148.5,4148.75,235,93
2023-04-27 21:25:00,2023-04-27 21:25:00,4148.5,4149.5,4148.5,4149.25,603,152
2023-04-27 21:30:00,2023-04-27 21:30:00,4149.25,4150.75,4145.75,4150.25,3995,1284
2023-04-27 21:35:00,2023-04-27 21:35:00,4150.25,4153.75,4150.25,4153.5,1607,597
